"address_mesh_block_2016_pid","address_detail_pid","mesh_block_pid","date_created","mb_match_code"
"ACT1547495377","GAACT714851043","80002010000","2016-08-09","1"
"ACT1547495378","GAACT714851044","80002010000","2016-08-09","1"
"ACT1547495379","GAACT714851045","80001940000","2016-08-09","1"
"ACT1547495380","GAACT714851046","80001940000","2016-08-09","1"
"ACT1547495381","GAACT714851047","80002010000","2016-08-09","1"
"ACT1547495382","GAACT714851048","80002010000","2016-08-09","1"
"ACT1547495383","GAACT714851049","80002010000","2016-08-09","1"
"ACT1547495384","GAACT714851050","80002010000","2016-08-09","1"
"ACT1547495385","GAACT714851051","80002010000","2016-08-09","1"
"ACT1547495386","GAACT714851052","80001970000","2016-08-09","1"
